M1,M2,G1,G2
20.0,97.5,10.235,-12.078
20.0,100.0,9.834,-12.736
20.0,102.5,9.428,-13.401
20.0,105.0,9.018,-14.073
20.0,107.5,8.606,-14.749
20.0,110.0,8.191,-15.429
20.0,112.5,7.775,-16.110
20.0,115.0,7.358,-16.792
20.0,117.5,6.942,-17.474
20.0,120.0,6.526,-18.152
20.0,122.5,6.111,-18.827
20.0,125.0,5.699,-19.497
20.0,127.5,5.290,-20.159
20.0,130.0,4.884,-20.813
20.0,132.5,4.484,-21.457
20.0,135.0,4.089,-22.090
20.0,137.5,3.701,-22.710
20.0,140.0,3.320,-23.315
20.0,142.5,2.948,-23.903
20.0,145.0,2.585,-24.474
20.0,147.5,2.233,-25.026
20.0,150.0,1.893,-25.556
20.0,152.5,1.566,-26.063
20.0,155.0,1.253,-26.545
20.0,157.5,0.956,-27.002
20.0,160.0,0.676,-27.430
22.5,0.0,17.988,0.510
22.5,2.5,17.986,0.507
22.5,5.0,17.975,0.491
22.5,7.5,17.957,0.462
22.5,10.0,17.929,0.420
22.5,12.5,17.893,0.364
22.5,15.0,17.848,0.295
22.5,17.5,17.794,0.211
22.5,20.0,17.730,0.113
22.5,22.5,17.657,0.000
22.5,25.0,17.574,-0.128
22.5,27.5,17.481,-0.273
22.5,30.0,17.377,-0.434
22.5,32.5,17.263,-0.611
22.5,35.0,17.138,-0.806
22.5,37.5,17.001,-1.019
22.5,40.0,16.853,-1.251
22.5,42.5,16.692,-1.501
22.5,45.0,16.520,-1.771
22.5,47.5,16.336,-2.061
22.5,50.0,16.138,-2.371
22.5,52.5,15.929,-2.702
22.5,55.0,15.707,-3.054
22.5,57.5,15.472,-3.426
22.5,60.0,15.224,-3.820
22.5,62.5,14.964,-4.235
22.5,65.0,14.691,-4.671
22.5,67.5,14.406,-5.128
22.5,70.0,14.109,-5.605
22.5,72.5,13.800,-6.103
22.5,75.0,13.480,-6.620
22.5,77.5,13.150,-7.156
22.5,80.0,12.809,-7.709
22.5,82.5,12.459,-8.281
22.5,85.0,12.099,-8.868
22.5,87.5,11.731,-9.470
22.5,90.0,11.355,-10.087
22.5,92.5,10.972,-10.716
22.5,95.0,10.583,-11.357
22.5,97.5,10.187,-12.008
22.5,100.0,9.787,-12.669
22.5,102.5,9.383,-13.337
22.5,105.0,8.975,-14.011
22.5,107.5,8.564,-14.689
22.5,110.0,8.151,-15.372
22.5,112.5,7.736,-16.056
22.5,115.0,7.321,-16.741
22.5,117.5,6.906,-17.424
22.5,120.0,6.491,-18.106
22.5,122.5,6.078,-18.783
22.5,125.0,5.668,-19.455
22.5,127.5,5.260,-20.120
22.5,130.0,4.857,-20.776
22.5,132.5,4.458,-21.423
22.5,135.0,4.065,-22.058
22.5,137.5,3.678,-22.680
22.5,140.0,3.299,-23.287
22.5,142.5,2.928,-23.878
22.5,145.0,2.567,-24.451
22.5,147.5,2.217,-25.004
22.5,150.0,1.878,-25.536
22.5,152.5,1.552,-26.045
22.5,155.0,1.241,-26.529
22.5,157.5,0.945,-26.987
22.5,160.0,0.666,-27.417
25.0,0.0,17.901,0.636
25.0,2.5,17.899,0.633
25.0,5.0,17.889,0.617
